"year","Ts","dOsea","dTsVscales"
-4685000,4.040904,3.06,3.51436776482715
-4680000,4.775144,2.86,4.94933991436727
-4675000,4.553696,2.92,4.51654993755947
-4670000,4.775144,2.86,4.94933991436727
-4665000,4.369926,2.97,4.15739648375555
-4660000,4.701216,2.88,4.80485770000793
-4655000,3.786566,3.13,3.01729875936608
-4650000,3.931734,3.09,3.30100985792301
-4645000,4.516886,2.93,4.44460980242031
-4640000,4.44335,2.95,4.30089369870956
-4635000,4.44335,2.95,4.30089369870956
-4630000,4.186856,3.02,3.79961108468126
-4625000,4.223414,3.01,3.87105872011775
-4620000,4.113824,3.04,3.65687998037583
-4615000,4.07735,3.05,3.5855965115069
-4610000,3.750344,3.14,2.94650779019981
-4605000,3.931734,3.09,3.30100985792301
-4600000,4.333256,2.98,4.08572995956232
-4595000,4.26,3,3.94256107774342
-4590000,4.26,3,3.94256107774342
-4585000,3.8954,3.1,3.23
-4580000,3.859094,3.11,3.15904486426618
-4575000,3.677984,3.16,2.80509001843482
-4570000,4.333256,2.98,4.08572995956232
-4565000,4.516886,2.93,4.44460980242031
-4560000,4.186856,3.02,3.79961108468126
-4555000,4.6274,2.9,4.66059437440533
-4550000,4.701216,2.88,4.80485770000793
-4545000,4.960454,2.81,5.31150308857636
-4540000,4.738166,2.87,4.87707144609301
-4535000,3.931734,3.09,3.30100985792301
-4530000,4.113824,3.04,3.65687998037583
-4525000,4.223414,3.01,3.87105872011775
-4520000,5.034774,2.79,5.45675141358429
-4515000,4.296614,2.99,4.01411815755828
-4510000,4.516886,2.93,4.44460980242031
-4505000,4.004486,3.07,3.44319374033659
-4500000,3.822816,3.12,3.08814445072153
-4495000,3.8954,3.1,3.23
-4490000,3.8954,3.1,3.23
-4485000,4.553696,2.92,4.51654993755947
-4480000,4.44335,2.95,4.30089369870956
-4475000,4.775144,2.86,4.94933991436727
-4470000,4.738166,2.87,4.87707144609301
-4465000,4.81215,2.85,5.02166310483072
-4460000,4.81215,2.85,5.02166310483072
-4455000,4.44335,2.95,4.30089369870956
-4450000,4.150326,3.03,3.72821817143395
-4445000,4.6274,2.9,4.66059437440533
-4440000,4.701216,2.88,4.80485770000793
-4435000,4.553696,2.92,4.51654993755947
-4430000,4.701216,2.88,4.80485770000793
-4425000,4.480104,2.94,4.37272438947035
-4420000,4.369926,2.97,4.15739648375555
-4415000,3.786566,3.13,3.01729875936608
-4410000,4.150326,3.03,3.72821817143395
-4405000,3.968096,3.08,3.37207443803521
-4400000,4.296614,2.99,4.01411815755828
-4395000,4.480104,2.94,4.37272438947035
-4390000,4.886246,2.83,5.16647365232517
-4385000,5.146464,2.76,5.67503431751507
-4380000,4.333256,2.98,4.08572995956232
-4375000,4.664294,2.89,4.73269867611204
-4370000,4.44335,2.95,4.30089369870956
-4365000,4.004486,3.07,3.44319374033659
-4360000,4.150326,3.03,3.72821817143395
-4355000,4.664294,2.89,4.73269867611204
-4350000,4.849184,2.84,5.09404101748335
-4345000,4.738166,2.87,4.87707144609301
-4340000,5.258406,2.73,5.89380972114851
-4335000,4.81215,2.85,5.02166310483072
-4330000,4.26,3,3.94256107774342
-4325000,4.886246,2.83,5.16647365232517
-4320000,4.849184,2.84,5.09404101748335
-4315000,4.81215,2.85,5.02166310483072
-4310000,4.775144,2.86,4.94933991436727
-4305000,4.701216,2.88,4.80485770000793
-4300000,4.113824,3.04,3.65687998037583
-4295000,4.150326,3.03,3.72821817143395
-4290000,4.186856,3.02,3.79961108468126
-4285000,4.44335,2.95,4.30089369870956
-4280000,4.6274,2.9,4.66059437440533
-4275000,4.040904,3.06,3.51436776482715
-4270000,4.701216,2.88,4.80485770000793
-4265000,4.406624,2.96,4.22911773013796
-4260000,4.44335,2.95,4.30089369870956
-4255000,3.8954,3.1,3.23
-4250000,4.296614,2.99,4.01411815755828
-4245000,4.040904,3.06,3.51436776482715
-4240000,4.150326,3.03,3.72821817143395
-4235000,4.150326,3.03,3.72821817143395
-4230000,4.590534,2.91,4.58854479488781
-4225000,4.333256,2.98,4.08572995956232
-4220000,4.26,3,3.94256107774342
-4215000,4.81215,2.85,5.02166310483072
-4210000,4.26,3,3.94256107774342
-4205000,4.113824,3.04,3.65687998037583
-4200000,3.859094,3.11,3.15904486426618
-4195000,4.113824,3.04,3.65687998037583
-4190000,4.44335,2.95,4.30089369870956
