"","years.BP.2000","permille"
"1002","25.050.000",-43.44
"1003","25.050.000",-44.56
"1004","25.100.000",-44.56
"1005","25.100.000",-44.76
"1006","25.150.000",-44.76
"1007","25.150.000",-44.18
"1008","25.200.000",-44.18
"1009","25.200.000",-43.73
"1010","25.250.000",-43.73
"1011","25.250.000",-44.76
"1012","25.300.000",-44.76
"1013","25.300.000",-44.37
"1014","25.350.000",-44.37
"1015","25.350.000",-43.45
"1016","25.400.000",-43.45
"1017","25.400.000",-43.45
"1018","25.450.000",-43.45
"1019","25.450.000",-44.76
"1020","25.500.000",-44.76
"1021","25.500.000",-42.46
"1022","25.550.000",-42.46
"1023","25.550.000",-43.24
"1024","25.600.000",-43.24
"1025","25.600.000",-42.27
"1026","25.650.000",-42.27
"1027","25.650.000",-42.76
"1028","25.700.000",-42.76
"1029","25.700.000",-43.18
"1030","25.750.000",-43.18
"1031","25.750.000",-42.79
"1032","25.800.000",-42.79
"1033","25.800.000",-42.67
"1034","25.850.000",-42.67
"1035","25.850.000",-42.44
"1036","25.900.000",-42.44
"1037","25.900.000",-42.94
"1038","25.950.000",-42.94
"1039","25.950.000",-43.79
"1040","26.000.000",-43.79
"1041","26.000.000",-45.62
"1042","26.050.000",-45.62
"1043","26.050.000",-44.4
"1044","26.100.000",-44.4
"1045","26.100.000",-43.54
"1046","26.150.000",-43.54
"1047","26.150.000",-43.17
"1048","26.200.000",-43.17
"1049","26.200.000",-43.36
"1050","26.250.000",-43.36
"1051","26.250.000",-44.16
"1052","26.300.000",-44.16
"1053","26.300.000",-44.07
"1054","26.350.000",-44.07
"1055","26.350.000",-43.23
"1056","26.400.000",-43.23
"1057","26.400.000",-43.91
"1058","26.450.000",-43.91
"1059","26.450.000",-43.47
"1060","26.500.000",-43.47
"1061","26.500.000",-42.54
"1062","26.550.000",-42.54
"1063","26.550.000",-43.97
"1064","26.600.000",-43.97
"1065","26.600.000",-43.97
"1066","26.650.000",-43.97
"1067","26.650.000",-42.36
"1068","26.700.000",-42.36
"1069","26.700.000",-42.63
"1070","26.750.000",-42.63
"1071","26.750.000",-43.45
"1072","26.800.000",-43.45
"1073","26.800.000",-43.35
"1074","26.850.000",-43.35
"1075","26.850.000",-43.08
"1076","26.900.000",-43.08
"1077","26.900.000",-44.06
"1078","26.950.000",-44.06
"1079","26.950.000",-44.4
"1080","27.000.000",-44.4
"1081","27.000.000",-44.58
"1082","27.050.000",-44.58
"1083","27.050.000",-43.61
"1084","27.100.000",-43.61
"1085","27.100.000",-43.03
"1086","27.150.000",-43.03
"1087","27.150.000",-41.42
"1088","27.200.000",-41.42
"1089","27.200.000",-40.72
"1090","27.250.000",-40.72
"1091","27.250.000",-39.62
"1092","27.300.000",-39.62
"1093","27.300.000",-39.4
"1094","27.350.000",-39.4
"1095","27.350.000",-38.37
"1096","27.400.000",-38.37
"1097","27.400.000",-43.2
"1098","27.450.000",-43.2
"1099","27.450.000",-43.72
"1100","27.500.000",-43.72
"1101","27.500.000",-43.82
"1102","27.550.000",-43.82
"1103","27.550.000",-43.85
"1104","27.600.000",-43.85
"1105","27.600.000",-44.84
"1106","27.650.000",-44.84
"1107","27.650.000",-44.2
"1108","27.700.000",-44.2
"1109","27.700.000",-44.58
"1110","27.750.000",-44.58
"1111","27.750.000",-44.05
"1112","27.800.000",-44.05
"1113","27.800.000",-44.15
"1114","27.850.000",-44.15
"1115","27.850.000",-44.48
"1116","27.900.000",-44.48
"1117","27.900.000",-43.75
"1118","27.950.000",-43.75
"1119","27.950.000",-44.7
"1120","28.000.000",-44.7
"1121","28.000.000",-43.59
"1122","28.050.000",-43.59
"1123","28.050.000",-43.78
"1124","28.100.000",-43.78
"1125","28.100.000",-44.28
"1126","28.150.000",-44.28
"1127","28.150.000",-43.2
"1128","28.200.000",-43.2
"1129","28.200.000",-43.23
"1130","28.250.000",-43.23
"1131","28.250.000",-40.58
"1132","28.300.000",-40.58
"1133","28.300.000",-40.33
"1134","28.350.000",-40.33
"1135","28.350.000",-40.45
"1136","28.400.000",-40.45
"1137","28.400.000",-40.36
"1138","28.450.000",-40.36
"1139","28.450.000",-39.02
"1140","28.500.000",-39.02
"1141","28.500.000",-40.23
"1142","28.550.000",-40.23
"1143","28.550.000",-42.5
"1144","28.600.000",-42.5
"1145","28.600.000",-43.6
"1146","28.650.000",-43.6
"1147","28.650.000",-44.37
"1148","28.700.000",-44.37
"1149","28.700.000",-44.08
"1150","28.750.000",-44.08
"1151","28.750.000",-44.54
"1152","28.800.000",-44.54
"1153","28.800.000",-43.71
"1154","28.850.000",-43.71
"1155","28.850.000",-44.13
"1156","28.900.000",-44.13
"1157","28.900.000",-44.32
"1158","28.950.000",-44.32
"1159","28.950.000",-43.65
"1160","29.000.000",-43.65
"1161","29.000.000",-43.51
"1162","29.050.000",-43.51
"1163","29.050.000",-44.14
"1164","29.100.000",-44.14
"1165","29.100.000",-45.07
"1166","29.150.000",-45.07
"1167","29.150.000",-44.35
"1168","29.200.000",-44.35
"1169","29.200.000",-45.82
"1170","29.250.000",-45.82
"1171","29.250.000",-44.57
"1172","29.300.000",-44.57
"1173","29.300.000",-45.22
"1174","29.350.000",-45.22
"1175","29.350.000",-44.39
"1176","29.400.000",-44.39
"1177","29.400.000",-44.15
"1178","29.450.000",-44.15
"1179","29.450.000",-44.31
"1180","29.500.000",-44.31
"1181","29.500.000",-44.51
"1182","29.550.000",-44.51
"1183","29.550.000",-44.06
"1184","29.600.000",-44.06
"1185","29.600.000",-43.98
"1186","29.650.000",-43.98
"1187","29.650.000",-44.83
"1188","29.700.000",-44.83
"1189","29.700.000",-44.47
"1190","29.750.000",-44.47
"1191","29.750.000",-45.11
"1192","29.800.000",-45.11
"1193","29.800.000",-44.22
"1194","29.850.000",-44.22
"1195","29.850.000",-44.37
"1196","29.900.000",-44.37
"1197","29.900.000",-45.09
"1198","29.950.000",-45.09
"1199","29.950.000",-43.74
"1200","30.000.000",-43.74
"1201","30.000.000",-44.04
"1202","30.050.000",-44.04
"1203","30.050.000",-44.88
"1204","30.100.000",-44.88
"1205","30.100.000",-43.76
"1206","30.150.000",-43.76
"1207","30.150.000",-43.35
"1208","30.200.000",-43.35
"1209","30.200.000",-43.83
"1210","30.250.000",-43.83
"1211","30.250.000",-42.23
"1212","30.300.000",-42.23
"1213","30.300.000",-42.37
"1214","30.350.000",-42.37
"1215","30.350.000",-43
"1216","30.400.000",-43
"1217","30.400.000",-43.85
"1218","30.450.000",-43.85
"1219","30.450.000",-43.12
"1220","30.500.000",-43.12
"1221","30.500.000",-43.65
"1222","30.550.000",-43.65
"1223","30.550.000",-44.24
"1224","30.600.000",-44.24
"1225","30.600.000",-44.21
"1226","30.650.000",-44.21
"1227","30.650.000",-43.66
"1228","30.700.000",-43.66
"1229","30.700.000",-43.89
"1230","30.750.000",-43.89
"1231","30.750.000",-43.58
"1232","30.800.000",-43.58
"1233","30.800.000",-43.28
"1234","30.850.000",-43.28
"1235","30.850.000",-44.29
"1236","30.900.000",-44.29
"1237","30.900.000",-44.13
"1238","30.950.000",-44.13
"1239","30.950.000",-43.22
"1240","31.000.000",-43.22
"1241","31.000.000",-43.74
"1242","31.050.000",-43.74
"1243","31.050.000",-44.21
"1244","31.100.000",-44.21
"1245","31.100.000",-43.46
"1246","31.150.000",-43.46
"1247","31.150.000",-43.08
"1248","31.200.000",-43.08
"1249","31.200.000",-44.4
"1250","31.250.000",-44.4
"1251","31.250.000",-43.69
"1252","31.300.000",-43.69
"1253","31.300.000",-44.02
"1254","31.350.000",-44.02
"1255","31.350.000",-43.95
"1256","31.400.000",-43.95
"1257","31.400.000",-43.09
"1258","31.450.000",-43.09
"1259","31.450.000",-43.68
"1260","31.500.000",-43.68
"1261","31.500.000",-43.39
"1262","31.550.000",-43.39
"1263","31.550.000",-44.07
"1264","31.600.000",-44.07
"1265","31.600.000",-43.65
"1266","31.650.000",-43.65
"1267","31.650.000",-43.96
"1268","31.700.000",-43.96
"1269","31.700.000",-43.4
"1270","31.750.000",-43.4
"1271","31.750.000",-43.57
"1272","31.800.000",-43.57
"1273","31.800.000",-41.55
"1274","31.850.000",-41.55
"1275","31.850.000",-41.7
"1276","31.900.000",-41.7
"1277","31.900.000",-40.61
"1278","31.950.000",-40.61
"1279","31.950.000",-40.3
"1280","32.000.000",-40.3
"1281","32.000.000",-40.43
"1282","32.050.000",-40.43
"1283","32.050.000",-40.4
"1284","32.100.000",-40.4
"1285","32.100.000",-39.94
"1286","32.150.000",-39.94
"1287","32.150.000",-39.88
"1288","32.200.000",-39.88
"1289","32.200.000",-38.92
"1290","32.250.000",-38.92
"1291","32.250.000",-42.28
"1292","32.300.000",-42.28
"1293","32.300.000",-43.91
"1294","32.350.000",-43.91
"1295","32.350.000",-43.81
"1296","32.400.000",-43.81
"1297","32.400.000",-44.18
"1298","32.450.000",-44.18
"1299","32.450.000",-44.26
"1300","32.500.000",-44.26
"1301","32.500.000",-43.77
"1302","32.550.000",-43.77
"1303","32.550.000",-44.17
"1304","32.600.000",-44.17
"1305","32.600.000",-44.69
"1306","32.650.000",-44.69
"1307","32.650.000",-45.14
"1308","32.700.000",-45.14
"1309","32.700.000",-43.84
"1310","32.750.000",-43.84
"1311","32.750.000",-42.97
"1312","32.800.000",-42.97
"1313","32.800.000",-43.48
"1314","32.850.000",-43.48
"1315","32.850.000",-43.68
"1316","32.900.000",-43.68
"1317","32.900.000",-43.81
"1318","32.950.000",-43.81
"1319","32.950.000",-43.26
"1320","33.000.000",-43.26
"1321","33.000.000",-43.21
"1322","33.050.000",-43.21
"1323","33.050.000",-43.56
"1324","33.100.000",-43.56
"1325","33.100.000",-44.19
"1326","33.150.000",-44.19
"1327","33.150.000",-43.14
"1328","33.200.000",-43.14
"1329","33.200.000",-41.1
"1330","33.250.000",-41.1
"1331","33.250.000",-40.38
"1332","33.300.000",-40.38
"1333","33.300.000",-39.92
"1334","33.350.000",-39.92
"1335","33.350.000",-39.66
"1336","33.400.000",-39.66
"1337","33.400.000",-39.82
"1338","33.450.000",-39.82
"1339","33.450.000",-39.78
"1340","33.500.000",-39.78
"1341","33.500.000",-39.03
"1342","33.550.000",-39.03
"1343","33.550.000",-41.04
"1344","33.600.000",-41.04
"1345","33.600.000",-41.91
"1346","33.650.000",-41.91
"1347","33.650.000",-42.7
"1348","33.700.000",-42.7
"1349","33.700.000",-42.73
"1350","33.750.000",-42.73
"1351","33.750.000",-43.26
"1352","33.800.000",-43.26
"1353","33.800.000",-43.32
"1354","33.850.000",-43.32
"1355","33.850.000",-42.49
"1356","33.900.000",-42.49
"1357","33.900.000",-42.92
"1358","33.950.000",-42.92
"1359","33.950.000",-42.72
"1360","34.000.000",-42.72
"1361","34.000.000",-42.85
"1362","34.050.000",-42.85
"1363","34.050.000",-42.59
"1364","34.100.000",-42.59
"1365","34.100.000",-43.38
"1366","34.150.000",-43.38
"1367","34.150.000",-43.09
"1368","34.200.000",-43.09
"1369","34.200.000",-42.81
"1370","34.250.000",-42.81
"1371","34.250.000",-42.61
"1372","34.300.000",-42.61
"1373","34.300.000",-42.97
"1374","34.350.000",-42.97
"1375","34.350.000",-43.38
"1376","34.400.000",-43.38
"1377","34.400.000",-42.98
"1378","34.450.000",-42.98
"1379","34.450.000",-41.93
"1380","34.500.000",-41.93
"1381","34.500.000",-42.2
"1382","34.550.000",-42.2
"1383","34.550.000",-40.05
"1384","34.600.000",-40.05
"1385","34.600.000",-40.5
"1386","34.650.000",-40.5
"1387","34.650.000",-40.4
"1388","34.700.000",-40.4
"1389","34.700.000",-40.77
"1390","34.750.000",-40.77
"1391","34.750.000",-41.17
"1392","34.800.000",-41.17
"1393","34.800.000",-40.99
"1394","34.850.000",-40.99
"1395","34.850.000",-40.3
"1396","34.900.000",-40.3
"1397","34.900.000",-39.35
"1398","34.950.000",-39.35
"1399","34.950.000",-40.17
"1400","35.000.000",-40.17
"1401","35.000.000",-39.67
"1402","35.050.000",-39.67
"1403","35.050.000",-39.8
"1404","35.100.000",-39.8
"1405","35.100.000",-39.36
"1406","35.150.000",-39.36
"1407","35.150.000",-39.51
"1408","35.200.000",-39.51
"1409","35.200.000",-39.24
"1410","35.250.000",-39.24
"1411","35.250.000",-38.78
"1412","35.300.000",-38.78
"1413","35.300.000",-38.63
"1414","35.350.000",-38.63
"1415","35.350.000",-39.86
"1416","35.400.000",-39.86
"1417","35.400.000",-42.62
"1418","35.450.000",-42.62
"1419","35.450.000",-42.74
"1420","35.500.000",-42.74
"1421","35.500.000",-42.83
"1422","35.550.000",-42.83
"1423","35.550.000",-42.6
"1424","35.600.000",-42.6
"1425","35.600.000",-41.95
"1426","35.650.000",-41.95
"1427","35.650.000",-42.58
"1428","35.700.000",-42.58
"1429","35.700.000",-43.43
"1430","35.750.000",-43.43
"1431","35.750.000",-44.52
"1432","35.800.000",-44.52
"1433","35.800.000",-44.52
"1434","35.850.000",-44.52
"1435","35.850.000",-42.59
"1436","35.900.000",-42.59
"1437","35.900.000",-43.13
"1438","35.950.000",-43.13
"1439","35.950.000",-43.32
"1440","36.000.000",-43.32
"1441","36.000.000",-42.93
"1442","36.050.000",-42.93
"1443","36.050.000",-42.81
"1444","36.100.000",-42.81
"1445","36.100.000",-42.43
"1446","36.150.000",-42.43
"1447","36.150.000",-42.75
"1448","36.200.000",-42.75
"1449","36.200.000",-43.32
"1450","36.250.000",-43.32
"1451","36.250.000",-42.88
"1452","36.300.000",-42.88
"1453","36.300.000",-42
"1454","36.350.000",-42
"1455","36.350.000",-43.06
"1456","36.400.000",-43.06
"1457","36.400.000",-42.12
"1458","36.450.000",-42.12
"1459","36.450.000",-41.75
"1460","36.500.000",-41.75
"1461","36.500.000",-43.23
"1462","36.550.000",-43.23
"1463","36.550.000",-42.21
"1464","36.600.000",-42.21
"1465","36.600.000",-40.82
"1466","36.650.000",-40.82
"1467","36.650.000",-41.05
"1468","36.700.000",-41.05
"1469","36.700.000",-41.09
"1470","36.750.000",-41.09
"1471","36.750.000",-41.26
"1472","36.800.000",-41.26
"1473","36.800.000",-40.4
"1474","36.850.000",-40.4
"1475","36.850.000",-41.54
"1476","36.900.000",-41.54
"1477","36.900.000",-41.31
"1478","36.950.000",-41.31
"1479","36.950.000",-41.52
"1480","37.000.000",-41.52
"1481","37.000.000",-41.01
"1482","37.050.000",-41.01
"1483","37.050.000",-41.33
"1484","37.100.000",-41.33
"1485","37.100.000",-40.96
"1486","37.150.000",-40.96
"1487","37.150.000",-40.21
"1488","37.200.000",-40.21
"1489","37.200.000",-40.02
"1490","37.250.000",-40.02
"1491","37.250.000",-39.59
"1492","37.300.000",-39.59
"1493","37.300.000",-39.93
"1494","37.350.000",-39.93
"1495","37.350.000",-39.28
"1496","37.400.000",-39.28
"1497","37.400.000",-40.29
"1498","37.450.000",-40.29
"1499","37.450.000",-40.21
"1500","37.500.000",-40.21
"1501","37.500.000",-38.77
"1502","37.550.000",-38.77
"1503","37.550.000",-39.28
"1504","37.600.000",-39.28
"1505","37.600.000",-38.74
"1506","37.650.000",-38.74
"1507","37.650.000",-39.15
"1508","37.700.000",-39.15
"1509","37.700.000",-38.9
"1510","37.750.000",-38.9
"1511","37.750.000",-38.71
"1512","37.800.000",-38.71
"1513","37.800.000",-39.04
"1514","37.850.000",-39.04
"1515","37.850.000",-39.12
"1516","37.900.000",-39.12
"1517","37.900.000",-39.03
"1518","37.950.000",-39.03
"1519","37.950.000",-39.41
"1520","38.000.000",-39.41
"1521","38.000.000",-39.05
"1522","38.050.000",-39.05
"1523","38.050.000",-38.64
"1524","38.100.000",-38.64
"1525","38.100.000",-38.5
"1526","38.150.000",-38.5
"1527","38.150.000",-38.97
"1528","38.200.000",-38.97
"1529","38.200.000",-38.2
"1530","38.250.000",-38.2
"1531","38.250.000",-38.13
"1532","38.300.000",-38.13
"1533","38.300.000",-38.99
"1534","38.350.000",-38.99
"1535","38.350.000",-41.76
"1536","38.400.000",-41.76
"1537","38.400.000",-42.3
"1538","38.450.000",-42.3
"1539","38.450.000",-42.78
"1540","38.500.000",-42.78
"1541","38.500.000",-42.26
"1542","38.550.000",-42.26
"1543","38.550.000",-42.15
"1544","38.600.000",-42.15
"1545","38.600.000",-42.76
"1546","38.650.000",-42.76
"1547","38.650.000",-42.81
"1548","38.700.000",-42.81
"1549","38.700.000",-42.71
"1550","38.750.000",-42.71
"1551","38.750.000",-42.77
"1552","38.800.000",-42.77
"1553","38.800.000",-43.71
"1554","38.850.000",-43.71
"1555","38.850.000",-43.21
"1556","38.900.000",-43.21
"1557","38.900.000",-43.19
"1558","38.950.000",-43.19
"1559","38.950.000",-43.09
"1560","39.000.000",-43.09
"1561","39.000.000",-42.63
"1562","39.050.000",-42.63
"1563","39.050.000",-42.5
"1564","39.100.000",-42.5
"1565","39.100.000",-42.11
"1566","39.150.000",-42.11
"1567","39.150.000",-43.91
"1568","39.200.000",-43.91
"1569","39.200.000",-43.54
"1570","39.250.000",-43.54
"1571","39.250.000",-44.16
"1572","39.300.000",-44.16
"1573","39.300.000",-43.05
"1574","39.350.000",-43.05
"1575","39.350.000",-43.27
"1576","39.400.000",-43.27
"1577","39.400.000",-43.62
"1578","39.450.000",-43.62
"1579","39.450.000",-43.35
"1580","39.500.000",-43.35
"1581","39.500.000",-43.03
"1582","39.550.000",-43.03
"1583","39.550.000",-43.57
"1584","39.600.000",-43.57
"1585","39.600.000",-42.66
"1586","39.650.000",-42.66
"1587","39.650.000",-43.49
"1588","39.700.000",-43.49
"1589","39.700.000",-43.67
"1590","39.750.000",-43.67
"1591","39.750.000",-42.01
"1592","39.800.000",-42.01
"1593","39.800.000",-43.88
"1594","39.850.000",-43.88
"1595","39.850.000",-42.68
"1596","39.900.000",-42.68
"1597","39.900.000",-42.96
"1598","39.950.000",-42.96
"1599","39.950.000",-43.24
"1600","40.000.000",-43.24
"1601","40.000.000",-43.23
"1602","40.050.000",-43.23
"1603","40.050.000",-43.33
"1604","40.100.000",-43.33
"1605","40.100.000",-42.23
"1606","40.150.000",-42.23
"1607","40.150.000",-41.09
"1608","40.200.000",-41.09
"1609","40.200.000",-40.75
"1610","40.250.000",-40.75
"1611","40.250.000",-40.34
"1612","40.300.000",-40.34
"1613","40.300.000",-40.18
"1614","40.350.000",-40.18
"1615","40.350.000",-42.77
"1616","40.400.000",-42.77
"1617","40.400.000",-42.2
"1618","40.450.000",-42.2
"1619","40.450.000",-42.44
"1620","40.500.000",-42.44
"1621","40.500.000",-42.21
"1622","40.550.000",-42.21
"1623","40.550.000",-42.42
"1624","40.600.000",-42.42
"1625","40.600.000",-42.2
"1626","40.650.000",-42.2
"1627","40.650.000",-42.29
"1628","40.700.000",-42.29
"1629","40.700.000",-42.08
"1630","40.750.000",-42.08
"1631","40.750.000",-42.9
"1632","40.800.000",-42.9
"1633","40.800.000",-43.34
"1634","40.850.000",-43.34
"1635","40.850.000",-43.32
"1636","40.900.000",-43.32
"1637","40.900.000",-43.01
"1638","40.950.000",-43.01
"1639","40.950.000",-43.67
"1640","41.000.000",-43.67
"1641","41.000.000",-43.77
"1642","41.050.000",-43.77
"1643","41.050.000",-42.3
"1644","41.100.000",-42.3
"1645","41.100.000",-42
"1646","41.150.000",-42
"1647","41.150.000",-41.95
"1648","41.200.000",-41.95
"1649","41.200.000",-41.67
"1650","41.250.000",-41.67
"1651","41.250.000",-40.8
"1652","41.300.000",-40.8
"1653","41.300.000",-40.01
"1654","41.350.000",-40.01
"1655","41.350.000",-39.76
"1656","41.400.000",-39.76
"1657","41.400.000",-40.43
"1658","41.450.000",-40.43
"1659","41.450.000",-39.43
"1660","41.500.000",-39.43
"1661","41.500.000",-40.07
"1662","41.550.000",-40.07
"1663","41.550.000",-39.33
"1664","41.600.000",-39.33
"1665","41.600.000",-39.57
"1666","41.650.000",-39.57
"1667","41.650.000",-38.92
"1668","41.700.000",-38.92
"1669","41.700.000",-39.05
"1670","41.750.000",-39.05
"1671","41.750.000",-42.07
"1672","41.800.000",-42.07
"1673","41.800.000",-42.37
"1674","41.850.000",-42.37
"1675","41.850.000",-43.01
"1676","41.900.000",-43.01
"1677","41.900.000",-42.19
"1678","41.950.000",-42.19
"1679","41.950.000",-42.6
"1680","42.000.000",-42.6
"1681","42.000.000",-42.44
"1682","42.050.000",-42.44
"1683","42.050.000",-43.29
"1684","42.100.000",-43.29
"1685","42.100.000",-42.82
"1686","42.150.000",-42.82
"1687","42.150.000",-42.48
"1688","42.200.000",-42.48
"1689","42.200.000",-43.48
"1690","42.250.000",-43.48
"1691","42.250.000",-42.49
"1692","42.300.000",-42.49
"1693","42.300.000",-43.17
"1694","42.350.000",-43.17
"1695","42.350.000",-42.77
"1696","42.400.000",-42.77
"1697","42.400.000",-42.67
"1698","42.450.000",-42.67
"1699","42.450.000",-41.73
"1700","42.500.000",-41.73
"1701","42.500.000",-42.46
"1702","42.550.000",-42.46
"1703","42.550.000",-42.2
"1704","42.600.000",-42.2
"1705","42.600.000",-40.87
"1706","42.650.000",-40.87
"1707","42.650.000",-40.97
"1708","42.700.000",-40.97
"1709","42.700.000",-40.92
"1710","42.750.000",-40.92
"1711","42.750.000",-41.11
"1712","42.800.000",-41.11
"1713","42.800.000",-41.62
"1714","42.850.000",-41.62
"1715","42.850.000",-41.17
"1716","42.900.000",-41.17
"1717","42.900.000",-41.12
"1718","42.950.000",-41.12
"1719","42.950.000",-40.63
"1720","43.000.000",-40.63
"1721","43.000.000",-40.05
"1722","43.050.000",-40.05
"1723","43.050.000",-39.93
"1724","43.100.000",-39.93
"1725","43.100.000",-39.7
"1726","43.150.000",-39.7
"1727","43.150.000",-39.68
"1728","43.200.000",-39.68
"1729","43.200.000",-39.4
"1730","43.250.000",-39.4
"1731","43.250.000",-39.46
"1732","43.300.000",-39.46
"1733","43.300.000",-38.98
"1734","43.350.000",-38.98
"1735","43.350.000",-38.48
"1736","43.400.000",-38.48
"1737","43.400.000",-38.76
"1738","43.450.000",-38.76
"1739","43.450.000",-39.46
"1740","43.500.000",-39.46
"1741","43.500.000",-40.01
"1742","43.550.000",-40.01
"1743","43.550.000",-39.57
"1744","43.600.000",-39.57
"1745","43.600.000",-39.3
"1746","43.650.000",-39.3
"1747","43.650.000",-39.97
"1748","43.700.000",-39.97
"1749","43.700.000",-41.86
"1750","43.750.000",-41.86
"1751","43.750.000",-42.6
"1752","43.800.000",-42.6
"1753","43.800.000",-43.09
"1754","43.850.000",-43.09
"1755","43.850.000",-43.14
"1756","43.900.000",-43.14
"1757","43.900.000",-43.9
"1758","43.950.000",-43.9
"1759","43.950.000",-43.88
"1760","44.000.000",-43.88
"1761","44.000.000",-43.15
"1762","44.050.000",-43.15
"1763","44.050.000",-42.11
"1764","44.100.000",-42.11
"1765","44.100.000",-42.31
"1766","44.150.000",-42.31
"1767","44.150.000",-42.48
"1768","44.200.000",-42.48
"1769","44.200.000",-42.03
"1770","44.250.000",-42.03
"1771","44.250.000",-42.59
"1772","44.300.000",-42.59
"1773","44.300.000",-43.57
"1774","44.350.000",-43.57
"1775","44.350.000",-42.29
"1776","44.400.000",-42.29
"1777","44.400.000",-42.21
"1778","44.450.000",-42.21
"1779","44.450.000",-42.97
"1780","44.500.000",-42.97
"1781","44.500.000",-43.42
"1782","44.550.000",-43.42
"1783","44.550.000",-43.18
"1784","44.600.000",-43.18
"1785","44.600.000",-42.1
"1786","44.650.000",-42.1
"1787","44.650.000",-43.34
"1788","44.700.000",-43.34
"1789","44.700.000",-42.45
"1790","44.750.000",-42.45
"1791","44.750.000",-41.73
"1792","44.800.000",-41.73
"1793","44.800.000",-40.57
"1794","44.850.000",-40.57
"1795","44.850.000",-39.89
"1796","44.900.000",-39.89
"1797","44.900.000",-40.24
"1798","44.950.000",-40.24
"1799","44.950.000",-40.89
"1800","45.000.000",-40.89
"1801","45.000.000",-41.86
"1802","45.050.000",-41.86
"1803","45.050.000",-41.82
"1804","45.100.000",-41.82
"1805","45.100.000",-40.91
"1806","45.150.000",-40.91
"1807","45.150.000",-40.72
"1808","45.200.000",-40.72
"1809","45.200.000",-41.27
"1810","45.250.000",-41.27
"1811","45.250.000",-41.07
"1812","45.300.000",-41.07
"1813","45.300.000",-42.03
"1814","45.350.000",-42.03
"1815","45.350.000",-41.18
"1816","45.400.000",-41.18
"1817","45.400.000",-40.7
"1818","45.450.000",-40.7
"1819","45.450.000",-40.73
"1820","45.500.000",-40.73
"1821","45.500.000",-40.98
"1822","45.550.000",-40.98
"1823","45.550.000",-40.6
"1824","45.600.000",-40.6
"1825","45.600.000",-40.75
"1826","45.650.000",-40.75
"1827","45.650.000",-40.23
"1828","45.700.000",-40.23
"1829","45.700.000",-40.94
"1830","45.750.000",-40.94
"1831","45.750.000",-41.08
"1832","45.800.000",-41.08
"1833","45.800.000",-40.82
"1834","45.850.000",-40.82
"1835","45.850.000",-40.26
"1836","45.900.000",-40.26
"1837","45.900.000",-39.46
"1838","45.950.000",-39.46
"1839","45.950.000",-40.16
"1840","46.000.000",-40.16
"1841","46.000.000",-40.2
"1842","46.050.000",-40.2
"1843","46.050.000",-39.47
"1844","46.100.000",-39.47
"1845","46.100.000",-39.51
"1846","46.150.000",-39.51
"1847","46.150.000",-39.57
"1848","46.200.000",-39.57
"1849","46.200.000",-39.45
"1850","46.250.000",-39.45
"1851","46.250.000",-39.37
"1852","46.300.000",-39.37
"1853","46.300.000",-39.59
"1854","46.350.000",-39.59
"1855","46.350.000",-39.24
"1856","46.400.000",-39.24
"1857","46.400.000",-39.8
"1858","46.450.000",-39.8
"1859","46.450.000",-39.37
"1860","46.500.000",-39.37
"1861","46.500.000",-38.41
"1862","46.550.000",-38.41
"1863","46.550.000",-39.01
"1864","46.600.000",-39.01
"1865","46.600.000",-39.05
"1866","46.650.000",-39.05
"1867","46.650.000",-38.98
"1868","46.700.000",-38.98
"1869","46.700.000",-38.66
"1870","46.750.000",-38.66
"1871","46.750.000",-38.93
"1872","46.800.000",-38.93
"1873","46.800.000",-39.11
"1874","46.850.000",-39.11
"1875","46.850.000",-39.13
"1876","46.900.000",-39.13
"1877","46.900.000",-38.98
"1878","46.950.000",-38.98
"1879","46.950.000",-38.02
"1880","47.000.000",-38.02
"1881","47.000.000",-38.49
"1882","47.050.000",-38.49
"1883","47.050.000",-39.17
"1884","47.100.000",-39.17
"1885","47.100.000",-38.03
"1886","47.150.000",-38.03
"1887","47.150.000",-38.09
"1888","47.200.000",-38.09
"1889","47.200.000",-37.71
"1890","47.250.000",-37.71
"1891","47.250.000",-38.19
"1892","47.300.000",-38.19
"1893","47.300.000",-37.35
"1894","47.350.000",-37.35
"1895","47.350.000",-40.26
"1896","47.400.000",-40.26
"1897","47.400.000",-42.32
"1898","47.450.000",-42.32
"1899","47.450.000",-42.78
"1900","47.500.000",-42.78
"1901","47.500.000",-42.87
"1902","47.550.000",-42.87
"1903","47.550.000",-42.58
"1904","47.600.000",-42.58
"1905","47.600.000",-42.15
"1906","47.650.000",-42.15
"1907","47.650.000",-43.07
"1908","47.700.000",-43.07
"1909","47.700.000",-42.7
"1910","47.750.000",-42.7
"1911","47.750.000",-43.16
"1912","47.800.000",-43.16
"1913","47.800.000",-42.48
"1914","47.850.000",-42.48
"1915","47.850.000",-42
"1916","47.900.000",-42
"1917","47.900.000",-42.87
"1918","47.950.000",-42.87
"1919","47.950.000",-43.63
"1920","48.000.000",-43.63
"1921","48.000.000",-43.61
"1922","48.050.000",-43.61
"1923","48.050.000",-42.8
"1924","48.100.000",-42.8
"1925","48.100.000",-41.98
"1926","48.150.000",-41.98
"1927","48.150.000",-42.02
"1928","48.200.000",-42.02
"1929","48.200.000",-43.16
"1930","48.250.000",-43.16
"1931","48.250.000",-43.83
"1932","48.300.000",-43.83
"1933","48.300.000",-43.48
"1934","48.350.000",-43.48
