"","years.BP.2000","permille"
"234","5.850.000",-34.82
"235","5.850.000",-34.22
"236","5.900.000",-34.22
"237","5.900.000",-34.73
"238","5.950.000",-34.73
"239","5.950.000",-34.96
"240","6.000.000",-34.96
"241","6.000.000",-34.93
"242","6.050.000",-34.93
"243","6.050.000",-34.83
"244","6.100.000",-34.83
"245","6.100.000",-34.4
"246","6.150.000",-34.4
"247","6.150.000",-34.81
"248","6.200.000",-34.81
"249","6.200.000",-34.77
"250","6.250.000",-34.77
"251","6.250.000",-34.8
"252","6.300.000",-34.8
"253","6.300.000",-34.78
"254","6.350.000",-34.78
"255","6.350.000",-34.65
"256","6.400.000",-34.65
"257","6.400.000",-34.35
"258","6.450.000",-34.35
"259","6.450.000",-34.55
"260","6.500.000",-34.55
"261","6.500.000",-35.08
"262","6.550.000",-35.08
"263","6.550.000",-34.47
"264","6.600.000",-34.47
"265","6.600.000",-34.61
"266","6.650.000",-34.61
"267","6.650.000",-34.54
"268","6.700.000",-34.54
"269","6.700.000",-34.51
"270","6.750.000",-34.51
"271","6.750.000",-34.72
"272","6.800.000",-34.72
"273","6.800.000",-34.66
"274","6.850.000",-34.66
"275","6.850.000",-34.54
"276","6.900.000",-34.54
"277","6.900.000",-34.77
"278","6.950.000",-34.77
"279","6.950.000",-34.6
"280","7.000.000",-34.6
"281","7.000.000",-34.79
"282","7.050.000",-34.79
"283","7.050.000",-34.7
"284","7.100.000",-34.7
"285","7.100.000",-34.81
"286","7.150.000",-34.81
"287","7.150.000",-34.82
"288","7.200.000",-34.82
"289","7.200.000",-34.61
"290","7.250.000",-34.61
"291","7.250.000",-34.91
"292","7.300.000",-34.91
"293","7.300.000",-34.69
"294","7.350.000",-34.69
"295","7.350.000",-34.43
"296","7.400.000",-34.43
"297","7.400.000",-34.41
"298","7.450.000",-34.41
"299","7.450.000",-34.52
"300","7.500.000",-34.52
"301","7.500.000",-34.69
"302","7.550.000",-34.69
"303","7.550.000",-34.23
"304","7.600.000",-34.23
"305","7.600.000",-34.33
"306","7.650.000",-34.33
"307","7.650.000",-34.39
"308","7.700.000",-34.39
"309","7.700.000",-34.42
"310","7.750.000",-34.42
"311","7.750.000",-34.06
"312","7.800.000",-34.06
"313","7.800.000",-34.25
"314","7.850.000",-34.25
"315","7.850.000",-34.89
"316","7.900.000",-34.89
"317","7.900.000",-34.54
"318","7.950.000",-34.54
"319","7.950.000",-34.13
"320","8.000.000",-34.13
"321","8.000.000",-34.63
"322","8.050.000",-34.63
"323","8.050.000",-34.65
"324","8.100.000",-34.65
"325","8.100.000",-35.51
"326","8.150.000",-35.51
"327","8.150.000",-35.98
"328","8.200.000",-35.98
"329","8.200.000",-35.39
"330","8.250.000",-35.39
"331","8.250.000",-34.6
"332","8.300.000",-34.6
"333","8.300.000",-34.69
"334","8.350.000",-34.69
"335","8.350.000",-35.13
"336","8.400.000",-35.13
"337","8.400.000",-34.77
"338","8.450.000",-34.77
"339","8.450.000",-34.6
"340","8.500.000",-34.6
"341","8.500.000",-34.71
"342","8.550.000",-34.71
"343","8.550.000",-34.46
"344","8.600.000",-34.46
"345","8.600.000",-35.12
"346","8.650.000",-35.12
"347","8.650.000",-34.75
"348","8.700.000",-34.75
"349","8.700.000",-34.82
"350","8.750.000",-34.82
"351","8.750.000",-35.05
"352","8.800.000",-35.05
"353","8.800.000",-34.67
"354","8.850.000",-34.67
"355","8.850.000",-34.3
"356","8.900.000",-34.3
"357","8.900.000",-34.71
"358","8.950.000",-34.71
"359","8.950.000",-34.66
"360","9.000.000",-34.66
"361","9.000.000",-35.22
"362","9.050.000",-35.22
"363","9.050.000",-34.78
"364","9.100.000",-34.78
"365","9.100.000",-34.49
"366","9.150.000",-34.49
