"year","SST","dTsVscales"
-7790,18.48,18.48
-7450,18.17,18.17
-7280,18.14,18.14
-7110,18.07,18.07
-6940,18.1,18.1
-6770,18.18,18.18
-6440,18.36,18.36
-6270,18.02,18.02
-6100,18.06,18.06
-5930,17.89,17.89
-5760,17.8,17.8
-5590,18,18
-5250,17.94,17.94
-5080,17.55,17.55
-4910,17.78,17.78
-4740,17.89,17.89
-4570,17.61,17.61
-4400,17.72,17.72
-4230,17.87,17.87
-4060,17.67,17.67
-3900,17.75,17.75
-3730,17.7,17.7
-3560,17.73,17.73
-3390,17.81,17.81
-3220,17.49,17.49
-3050,17.7,17.7
-2880,17.55,17.55
-2710,17.75,17.75
-2540,17.79,17.79
-2370,17.43,17.43
-2200,17.24,17.24
-2030,17.52,17.52
-1860,17.56,17.56
-1690,17.6,17.6
-1520,17.48,17.48
-1350,17.38,17.38
-1190,17.46,17.46
-1020,17.55,17.55
-850,17.47,17.47
-680,17.13,17.13
-510,17.58,17.58
-170,17.07,17.07
-60,17.49,17.49
