"year","dD","dTsVscales"
-148691,-478.7,-7.84
-148581,-477.5,-7.64
-148471,-477.9,-7.7
-148362,-476.8,-7.52
-148253,-477.7,-7.67
-148141,-482.4,-8.45
-148025,-482.5,-8.47
-147910,-481.6,-8.32
-147796,-481.2,-8.25
-147684,-479.5,-7.97
-147572,-480,-8.05
-147459,-480.6,-8.15
-147347,-479.8,-8.02
-147236,-479.8,-8.02
-147124,-479.4,-7.95
-147014,-479,-7.88
-146903,-479.7,-8
-146792,-479.8,-8.02
-146681,-479.6,-7.98
-146570,-478.6,-7.82
-146461,-477.9,-7.71
-146352,-478.8,-7.86
-146242,-479.6,-7.99
-146131,-479.6,-8
-146019,-481.5,-8.31
-145905,-482.3,-8.45
-145792,-481.6,-8.34
-145678,-482.5,-8.49
-145563,-483.3,-8.62
-145449,-481.4,-8.31
-145337,-480.3,-8.13
-145226,-479.5,-8
-145116,-478.9,-7.9
-145006,-480.6,-8.19
-144894,-481.4,-8.32
-144782,-480.7,-8.21
-144671,-479,-7.93
-144562,-478.5,-7.85
-144453,-478.1,-7.79
-144346,-477.6,-7.71
-144237,-480.1,-8.13
-144126,-480.4,-8.18
-144016,-479,-7.95
-143905,-481.4,-8.36
-143790,-484.5,-8.87
-143675,-483.1,-8.65
-143562,-481.2,-8.34
-143450,-481.2,-8.34
-143338,-481,-8.31
-143227,-480.1,-8.17
-143117,-479.6,-8.09
-143006,-481.5,-8.41
-142893,-482.5,-8.58
-142779,-483.1,-8.68
-142665,-483.4,-8.73
-142551,-481.9,-8.49
-142440,-480.4,-8.25
-142329,-481.1,-8.36
-142218,-479.6,-8.12
-142108,-480.1,-8.21
-141997,-482.1,-8.54
-141885,-481.2,-8.39
-141773,-481.9,-8.51
-141661,-482.3,-8.58
-141547,-483,-8.7
-141434,-482,-8.54
-141323,-480.6,-8.31
-141212,-481,-8.38
-141100,-483.2,-8.75
-140986,-482.2,-8.59
-140876,-479.3,-8.11
-140766,-480.9,-8.38
-140655,-482.2,-8.6
-140542,-482.6,-8.67
-140430,-481.2,-8.44
-140319,-480.6,-8.34
-140207,-483.5,-8.82
-140093,-484.5,-8.99
-139979,-482.4,-8.64
-139868,-481.1,-8.43
-139756,-482.5,-8.66
-139643,-483.7,-8.86
-139530,-482.7,-8.7
-139418,-480.9,-8.4
-139308,-480.9,-8.4
-139197,-481.7,-8.53
-139087,-480.3,-8.3
-138978,-480.3,-8.3
-138868,-482,-8.59
-138756,-482.5,-8.67
-138644,-482.5,-8.67
-138532,-482.8,-8.72
-138420,-482,-8.59
-138308,-484.1,-8.94
-138193,-485.9,-9.24
-138078,-483.8,-8.89
-137966,-481.5,-8.51
-137858,-477.7,-7.88
-137754,-475.7,-7.55
-137651,-475.2,-7.47
-137549,-475.1,-7.45
-137446,-476.7,-7.72
-137341,-478.3,-7.98
-137235,-478,-7.93
-137130,-477.3,-7.82
-137026,-475.4,-7.5
-136923,-476.1,-7.62
-136819,-478,-7.94
-136715,-475.4,-7.51
-136614,-474.1,-7.29
-136512,-475.6,-7.54
-136411,-474.7,-7.39
-136309,-475,-7.44
-136206,-477.2,-7.81
-136103,-475.4,-7.51
-136003,-473.2,-7.14
-135903,-474.2,-7.31
-135802,-474.3,-7.33
-135702,-473.1,-7.13
-135604,-471.8,-6.91
-135507,-471.3,-6.83
-135408,-474.1,-7.3
-135308,-475.2,-7.48
-135207,-473.9,-7.26
-135107,-473.4,-7.18
-135009,-471.6,-6.88
-134912,-471.7,-6.9
-134815,-472.1,-6.97
-134719,-468.6,-6.39
-134628,-464.7,-5.74
-134538,-464.8,-5.76
-134447,-466.8,-6.09
-134356,-465.8,-5.93
-134266,-464.7,-5.74
-134178,-462.6,-5.4
-134091,-461.9,-5.28
-134005,-459.5,-4.89
-133923,-457,-4.47
-133841,-456.9,-4.46
-133759,-456.6,-4.41
-133679,-453,-3.81
-133603,-449.5,-3.23
-133528,-449.5,-3.23
-133452,-451.6,-3.58
-133374,-453.7,-3.93
-133296,-452.5,-3.73
-133219,-451.3,-3.54
-133142,-452.2,-3.69
-133065,-453.1,-3.84
-132987,-451.7,-3.61
-132911,-450.2,-3.36
-132836,-449,-3.16
-132763,-446.6,-2.76
-132691,-445.5,-2.58
-132619,-445.5,-2.58
-132548,-445.5,-2.57
-132477,-445.2,-2.52
-132406,-444.7,-2.44
-132335,-444.6,-2.42
-132264,-445.7,-2.6
-132192,-446.8,-2.78
-132120,-446.8,-2.78
-132048,-445,-2.48
-131978,-443.5,-2.23
-131908,-443.8,-2.28
-131840,-441.3,-1.87
-131773,-438.8,-1.45
-131707,-439,-1.48
-131641,-439.2,-1.51
-131574,-440.5,-1.73
-131506,-441.8,-1.94
-131439,-439.4,-1.54
-131374,-437,-1.14
-131311,-433.1,-0.49
-131250,-429.2,0.16
-131190,-432.7,-0.42
-131128,-435,-0.79
-131066,-433.7,-0.58
-131004,-433.6,-0.56
-130942,-433.5,-0.54
-130880,-432.9,-0.43
-130819,-432.2,-0.31
-130759,-431.1,-0.13
-130699,-429.5,0.14
-130641,-428.9,0.24
-130582,-428,0.4
-130525,-427.2,0.53
-130467,-427,0.57
-130410,-426.9,0.59
-130353,-425.5,0.84
-130297,-425.4,0.88
-130241,-426.7,0.68
-130185,-423.5,1.24
-130131,-420.3,1.79
-130079,-420.3,1.81
-130026,-422.5,1.47
-129971,-424.6,1.14
-129916,-423.7,1.31
-129863,-422.1,1.6
-129809,-421.4,1.73
-129757,-420.2,1.95
-129705,-419.1,2.16
-129653,-421.5,1.78
-129600,-423.8,1.42
-129545,-429.1,0.56
-129486,-434.5,-0.31
-129428,-428.7,0.67
-129374,-419.6,2.2
-129324,-416.3,2.78
-129274,-418,2.52
-129224,-419.8,2.25
-129172,-422.5,1.83
-129119,-425.3,1.39
-129065,-425.3,1.42
-129011,-425.3,1.44
-128958,-423.9,1.7
-128906,-422.5,1.96
-128854,-421.2,2.2
-128804,-419.9,2.45
-128753,-421.8,2.16
-128702,-423.7,1.87
-128650,-422.4,2.11
-128599,-421,2.37
-128549,-419.1,2.71
-128501,-417.2,3.06
-128453,-417.2,3.08
-128405,-416.9,3.16
-128357,-416.6,3.23
-128309,-419.4,2.78
-128259,-421.2,2.5
-128210,-420.2,2.68
-128161,-420.2,2.7
-128112,-420.2,2.72
-128062,-421.7,2.49
-128012,-423.2,2.26
-127961,-424.5,2.06
-127910,-424,2.16
-127860,-422.1,2.49
-127810,-421.7,2.58
-127760,-422.7,2.43
-127710,-424.1,2.22
-127660,-423.3,2.37
-127610,-422.5,2.52
-127560,-423.3,2.4
-127510,-424.1,2.29
-127460,-423.7,2.37
-127410,-423.2,2.46
-127360,-423.4,2.44
-127310,-423.5,2.44
-127260,-424.2,2.33
-127210,-424.9,2.22
-127159,-425.5,2.13
-127108,-426.1,2.04
-127057,-426.1,2.05
-127006,-426.1,2.06
-126955,-426.1,2.07
-126904,-428.2,1.73
-126851,-430.2,1.41
-126799,-426.3,2.07
-126749,-422.3,2.74
-126700,-423.8,2.5
-126650,-427.3,1.93
-126598,-429.3,1.61
-126545,-431.5,1.26
-126491,-433.7,0.9
-126436,-433.5,0.93
-126381,-433.3,0.97
-126327,-433.1,1
-126272,-432.9,1.03
-126217,-435.9,0.53
-126160,-438.1,0.17
-126103,-437.4,0.28
-126046,-436.8,0.38
-125989,-436.3,0.47
-125933,-435.8,0.55
-125877,-435.4,0.61
-125821,-435.9,0.53
-125765,-436.4,0.45
-125708,-436.5,0.43
-125653,-434.5,0.76
-125598,-432.4,1.11
-125544,-432.6,1.07
-125490,-432.9,1.02
-125435,-434.1,0.82
-125380,-435.4,0.61
-125325,-433.5,0.92
-125271,-431.7,1.22
-125217,-433.3,0.95
-125162,-434.9,0.69
-125107,-436.2,0.47
-125050,-437.6,0.24
-124993,-438.8,0.04
-124935,-439.9,-0.14
-124877,-437.4,0.27
-124821,-435.1,0.65
-124765,-435.4,0.6
-124710,-435.4,0.6
-124654,-435.3,0.62
-124599,-435.1,0.65
-124544,-435.3,0.62
-124488,-435.5,0.58
-124432,-436,0.5
-124376,-436.6,0.4
-124320,-436,0.5
-124265,-435.4,0.6
-124209,-435.4,0.6
-124154,-435.4,0.59
-124100,-431.5,1.24
-124046,-432.5,1.07
-123991,-436.5,0.4
-123936,-435.8,0.51
-123880,-435.1,0.62
-123825,-434.5,0.72
-123770,-434.5,0.71
-123715,-436.1,0.44
-123658,-437.8,0.16
-123602,-437.2,0.25
-123545,-436.6,0.34
-123489,-437,0.27
-123432,-437.3,0.22
-123377,-434.8,0.63
-123322,-432.4,1.02
-123268,-435.3,0.54
-123211,-438.2,0.05
-123154,-439.9,-0.24
-123095,-441.5,-0.51
-123036,-440.9,-0.41
-122977,-440.3,-0.32
-122919,-438.9,-0.09
-122861,-440.1,-0.3
-122801,-442.8,-0.75
-122742,-440.6,-0.39
-122684,-438.5,-0.05
-122627,-437.1,0.18
-122571,-435.8,0.39
-122515,-436.5,0.27
-122458,-437.3,0.13
-122402,-437.3,0.13
-122345,-436.1,0.32
-122290,-435,0.5
-122234,-435.5,0.41
-122178,-436,0.32
-122122,-438,-0.01
-122064,-440.1,-0.37
-122006,-437.2,0.11
-121951,-434.3,0.59
-121896,-434.3,0.58
-121840,-436.1,0.28
-121784,-437.9,-0.03
-121727,-437.9,-0.03
-121669,-439.6,-0.32
-121610,-441.3,-0.6
-121551,-441.3,-0.6
-121492,-441.4,-0.62
-121432,-441.5,-0.64
-121373,-441.5,-0.65
-121314,-439.5,-0.32
-121256,-437.6,0
-121199,-440.4,-0.47
-121139,-443.1,-0.92
-121079,-443.1,-0.93
-121018,-442,-0.75
-120959,-441,-0.58
-120900,-441,-0.59
-120841,-440.4,-0.49
-120783,-438.9,-0.24
-120726,-438,-0.1
-120669,-437.3,0.02
-120612,-436.6,0.13
-120555,-438.2,-0.14
-120498,-439.8,-0.41
-120439,-441.1,-0.63
-120379,-442.5,-0.86
-120319,-442.5,-0.86
-120259,-442.5,-0.87
-120199,-443.8,-1.09
-120138,-445,-1.29
-120076,-443.7,-1.08
-120016,-442.4,-0.86
-119955,-444.2,-1.16
-119894,-446,-1.47
-119831,-446,-1.47
-119770,-443.6,-1.07
-119710,-441.2,-0.68
-119650,-443.1,-1
-119589,-445,-1.31
-119528,-443.6,-1.09
-119467,-443.5,-1.07
-119406,-444.7,-1.27
-119345,-445,-1.33
-119283,-445.4,-1.4
-119221,-445.4,-1.4
-119160,-442.7,-0.95
-119101,-440,-0.51
-119042,-442,-0.84
-118981,-443.9,-1.16
-118921,-443.9,-1.16
-118859,-445.7,-1.47
-118796,-447.5,-1.77
-118735,-443.1,-1.04
-118676,-438.7,-0.31
-118618,-440.2,-0.57
-118559,-441.6,-0.8
-118499,-443.5,-1.12
-118438,-445.5,-1.45
-118376,-445.5,-1.46
-118314,-443.9,-1.19
-118254,-442.3,-0.93
-118194,-442.3,-0.93
-118135,-442.3,-0.94
-118074,-444.5,-1.31
-118012,-446.6,-1.66
-117949,-447.3,-1.78
-117886,-447.9,-1.88
-117822,-447.7,-1.85
-117759,-446.6,-1.67
-117697,-445.8,-1.54
-117635,-444.1,-1.26
-117575,-442.4,-0.98
-117514,-445.5,-1.5
-117451,-448.5,-2
-117388,-446.5,-1.67
-117326,-444.6,-1.36
-117264,-446,-1.59
-117202,-447.4,-1.83
-117139,-446.2,-1.63
-117077,-445,-1.44
-117016,-445,-1.44
-116954,-446.1,-1.62
-116891,-447.3,-1.83
-116827,-449,-2.11
-116762,-450.8,-2.41
-116697,-451.5,-2.53
-116630,-452.3,-2.67
-116563,-452.3,-2.67
-116497,-452.3,-2.67
-116430,-452.5,-2.71
-116363,-452.8,-2.76
-116296,-453.2,-2.83
-116228,-453.5,-2.88
-116161,-453.4,-2.86
-116093,-454,-2.97
-116025,-454.7,-3.08
-115956,-456.2,-3.34
-115886,-457.6,-3.57
-115816,-454.8,-3.11
-115749,-452,-2.64
-115683,-451.5,-2.56
-115617,-450.9,-2.47
-115551,-450.9,-2.47
-115486,-450.9,-2.47
-115420,-450.9,-2.47
-115355,-450.9,-2.47
-115289,-450.9,-2.48
-115222,-456.5,-3.41
-115150,-462,-4.32
-115077,-459.4,-3.89
-115006,-456.7,-3.45
-114935,-458.5,-3.75
-114863,-460.4,-4.06
-114790,-462,-4.33
-114715,-463.6,-4.6
-114639,-464.7,-4.78
-114562,-465.7,-4.95
-114486,-463.5,-4.59
-114411,-461.4,-4.24
-114338,-461.8,-4.31
-114264,-462.3,-4.39
-114189,-462.1,-4.36
-114115,-461.9,-4.33
-114041,-462.6,-4.45
-113966,-463.3,-4.57
-113891,-463.3,-4.57
-113815,-466.5,-5.1
-113736,-469.6,-5.62
-113656,-467.5,-5.27
-113578,-465.5,-4.94
-113501,-465.2,-4.89
-113425,-464.9,-4.85
-113348,-465,-4.86
-113272,-465.7,-4.98
-113195,-465.7,-4.98
-113116,-468.2,-5.4
-113036,-470.6,-5.8
-112954,-471.4,-5.93
-112872,-472.2,-6.06
-112790,-471,-5.86
-112708,-469.8,-5.67
-112628,-470,-5.7
-112547,-470.7,-5.82
-112465,-471.4,-5.93
-112383,-471.4,-5.94
-112301,-471.4,-5.94
-112219,-471.4,-5.94
-112137,-471.4,-5.94
-112055,-471.4,-5.94
-111973,-472.7,-6.16
-111889,-474,-6.37
-111805,-474,-6.37
-111721,-471.9,-6.02
-111640,-469.8,-5.68
-111560,-469.8,-5.68
-111480,-469.8,-5.68
-111399,-469.8,-5.68
-111319,-469.8,-5.68
-111239,-469.8,-5.68
-111159,-469.8,-5.68
-111078,-471,-5.88
-110996,-472.2,-6.08
-110913,-473.2,-6.25
-110829,-474.2,-6.42
-110746,-471.7,-6
-110666,-469.1,-5.57
-110586,-469.1,-5.57
-110507,-469.1,-5.57
-110427,-469.1,-5.57
-110348,-469.1,-5.58
-110269,-469.1,-5.58
-110189,-469.1,-5.58
-110110,-469.1,-5.58
-110031,-468.8,-5.53
-109952,-468.4,-5.47
-109872,-470.9,-5.88
-109790,-473.4,-6.3
-109707,-472.8,-6.2
-109625,-472.1,-6.09
-109543,-472.1,-6.09
-109461,-472.1,-6.09
-109378,-474.2,-6.44
-109292,-476.4,-6.81
-109206,-476.4,-6.81
-109121,-474.7,-6.53
-109037,-473.1,-6.27
-108954,-473.1,-6.27
-108872,-473.1,-6.28
-108789,-473.1,-6.28
-108706,-473.1,-6.28
-108622,-474,-6.43
-108538,-474.8,-6.57
-108454,-475.2,-6.64
-108369,-475.6,-6.71
-108283,-475.6,-6.71
-108198,-476.3,-6.83
-108111,-477,-6.95
-108025,-477,-6.95
-107938,-476.7,-6.9
-107852,-476.4,-6.85
-107767,-475.3,-6.67
-107683,-474.1,-6.48
-107599,-474.1,-6.48
-107515,-474.1,-6.48
-107431,-474.1,-6.48
-107349,-470.7,-5.92
-107270,-467.3,-5.36
-107194,-464.4,-4.88
-107121,-461.5,-4.4
-107048,-461.5,-4.4
-106976,-461.5,-4.4
-106902,-463.5,-4.73
-106828,-465.5,-5.07
-106752,-464.1,-4.84
-106678,-462.7,-4.6
-106606,-461,-4.32
-106535,-459.3,-4.04
-106463,-460.6,-4.26
-106391,-461.9,-4.48
-106319,-460.5,-4.25
-106248,-459.1,-4.02
-106179,-455.2,-3.37
-106114,-451.2,-2.71
-106048,-454.2,-3.21
-105980,-457.2,-3.71
-105911,-457.9,-3.82
-105842,-458.5,-3.92
-105772,-458.5,-3.93
-105702,-458.5,-3.93
-105631,-460.9,-4.33
-105559,-463.2,-4.71
-105485,-462,-4.51
-105413,-460.7,-4.29
-105342,-460.2,-4.2
-105271,-459.6,-4.1
-105200,-460.7,-4.28
-105128,-461.9,-4.48
-105055,-463,-4.66
-104982,-464.2,-4.85
-104908,-462.2,-4.52
-104837,-460.1,-4.17
-104766,-460.1,-4.17
-104695,-460.6,-4.25
-104623,-461.1,-4.33
-104552,-461.1,-4.33
-104480,-461.1,-4.32
-104409,-461.4,-4.37
-104337,-461.6,-4.4
-104266,-460.5,-4.22
-104195,-459.5,-4.05
-104125,-459.9,-4.11
-104054,-460.2,-4.16
-103984,-460.7,-4.24
-103912,-461.1,-4.3
-103841,-462,-4.45
-103769,-462.3,-4.5
-103697,-461.8,-4.41
-103625,-461.8,-4.41
-103553,-462.1,-4.46
-103481,-462.5,-4.52
-103410,-459.6,-4.04
-103341,-456.7,-3.55
-103273,-457.4,-3.67
-103205,-458.1,-3.78
-103137,-454.6,-3.19
-103073,-451.1,-2.61
-103008,-454,-3.09
-102942,-456.8,-3.55
-102876,-453.1,-2.93
-102812,-449.5,-2.33
-102749,-452.5,-2.82
-102684,-455.5,-3.32
-102618,-454.1,-3.08
-102553,-452.7,-2.85
-102489,-450.5,-2.48
-102427,-448.3,-2.11
-102366,-449.2,-2.26
-102304,-450.2,-2.42
-102241,-451.5,-2.63
-102177,-452.9,-2.86
-102114,-450.3,-2.42
-102052,-447.6,-1.97
-101991,-448.4,-2.1
-101930,-449.2,-2.23
-101868,-450,-2.36
-101806,-450.8,-2.49
-101743,-450.1,-2.37
-101681,-449.5,-2.27
-101618,-452.8,-2.81
-101554,-453.7,-2.96
-101490,-451.4,-2.58
-101427,-452,-2.67
-101363,-452.6,-2.77
-101299,-453.9,-2.99
-101234,-455.1,-3.18
-101168,-455.1,-3.18
-101102,-455.8,-3.29
-101036,-456.5,-3.41
-100969,-457.2,-3.52
-100902,-457.9,-3.64
-100835,-456.6,-3.42
-100768,-457.3,-3.53
-100700,-457.8,-3.61
-100633,-458.2,-3.68
-100565,-458.2,-3.68
-100498,-456.5,-3.39
-100432,-454.8,-3.11
-100367,-454.8,-3.11
-100301,-457.7,-3.59
-100232,-460.7,-4.08
-100163,-459.2,-3.83
-100095,-458.1,-3.65
-100028,-456.9,-3.45
-99961,-457.2,-3.49
-99894,-457.2,-3.49
-99828,-457.2,-3.49
-99760,-459.6,-3.89
-99691,-460.8,-4.08
-99622,-459.8,-3.92
-99553,-460,-3.95
-99484,-460.4,-4.01
-99414,-460.5,-4.03
-99345,-460.8,-4.07
-99275,-461.1,-4.12
-99205,-462.5,-4.35
-99134,-463.9,-4.58
-99063,-461.4,-4.17
-98994,-459.2,-3.8
-98925,-460.4,-4
-98855,-463.8,-4.56
-98783,-462.8,-4.39
-98712,-465,-4.75
-98640,-461.2,-4.12
-98572,-457.5,-3.51
-98505,-457.5,-3.51
-98439,-457.5,-3.5
-98371,-460.1,-3.93
-98300,-465.6,-4.84
-98228,-463.6,-4.51
-98157,-462.8,-4.38
-98085,-465.8,-4.87
-98010,-468.9,-5.38
-97936,-465.5,-4.82
-97864,-462,-4.24
-97794,-461.2,-4.1
-97727,-456.7,-3.36
-97659,-461.3,-4.12
-97588,-465.9,-4.88
-97514,-466.5,-4.98
-97439,-469.4,-5.46
-97365,-464,-4.57
-97294,-462.7,-4.35
-97222,-466,-4.9
-97148,-468.1,-5.24
-97075,-463.1,-4.42
-97004,-463.7,-4.51
-96933,-463.7,-4.51
-96861,-463.7,-4.51
-96791,-461.8,-4.2
-96722,-459.9,-3.88
-96652,-462.7,-4.35
-96582,-462.3,-4.28
-96511,-462.7,-4.35
-96441,-462,-4.23
-96372,-459.8,-3.87
-96304,-459.4,-3.8
-96237,-457.6,-3.5
-96170,-457.6,-3.5
-96103,-460.3,-3.95
-96033,-462.4,-4.3
-95964,-460.6,-4
-95895,-458.8,-3.7
-95828,-458.8,-3.7
-95761,-458.8,-3.7
-95693,-459.7,-3.85
-95624,-460.6,-4
-95556,-460.6,-4
-95487,-460.6,-4
-95418,-459.9,-3.89
-95351,-456.9,-3.39
-95284,-458.4,-3.64
-95214,-466,-4.9
-95141,-465.2,-4.77
-95070,-462.9,-4.39
-95000,-460.3,-3.96
-94932,-459.3,-3.8
-94864,-459.7,-3.87
-94795,-460.8,-4.05
-94725,-463.2,-4.45
-94655,-462.6,-4.35
-94585,-461.4,-4.15
-94517,-457.5,-3.51
-94450,-458.4,-3.66
-94382,-461.2,-4.12
-94311,-465.5,-4.84
-94238,-466.3,-4.97
-94164,-466.3,-4.97
-94093,-459.7,-3.88
-94026,-455.9,-3.25
-93961,-457.1,-3.45
-93895,-456,-3.27
-93829,-457.1,-3.45
-93761,-462,-4.27
-93690,-464.5,-4.68
-93615,-470.1,-5.61
-93540,-465.9,-4.92
-93468,-463,-4.44
-93397,-464.5,-4.69
-93325,-463.2,-4.48
-93254,-464.5,-4.7
-93180,-467.2,-5.15
-93107,-464,-4.62
-93037,-461.1,-4.14
-92967,-460.6,-4.06
-92897,-463,-4.46
-92827,-461.9,-4.28
-92759,-456.1,-3.32
-92690,-463.7,-4.58
-92617,-468.9,-5.45
-92542,-464.8,-4.77
-92470,-465.8,-4.94
-92398,-460.9,-4.12
-92329,-460.1,-3.99
-92259,-463.4,-4.54
-92187,-464.4,-4.71
-92114,-466.7,-5.1
-92040,-465.1,-4.83
-91968,-463.6,-4.59
-91896,-465.2,-4.85
-91823,-463.7,-4.61
-91753,-459.1,-3.85
-91685,-460.7,-4.12
-91615,-460.2,-4.05
-91547,-457.5,-3.61
-91480,-457,-3.53
-91411,-464.2,-4.73
-91336,-470.7,-5.81
-91258,-470.1,-5.72
-91182,-467,-5.21
-91107,-466.8,-5.19
-91033,-465.6,-4.99
-90959,-465.7,-5.02
-90885,-464.3,-4.79
-90812,-465.5,-5
-90740,-460.4,-4.16
-90668,-466.1,-5.11
-90594,-466.5,-5.18
-90517,-470,-5.77
-90440,-469.7,-5.73
-90362,-468.8,-5.58
-90286,-467.3,-5.34
-90209,-470.9,-5.94
-90128,-475.3,-6.68
-90048,-468.8,-5.61
-89973,-463.2,-4.69
-89900,-465.4,-5.06
-89825,-467.5,-5.41
-89748,-467.5,-5.42
-89672,-467.5,-5.43
-89597,-465.5,-5.1
-89523,-463,-4.69
-89450,-466.2,-5.23
-89373,-469.4,-5.76
-89296,-466.8,-5.34
-89221,-464.2,-4.91
-89148,-462.6,-4.65
-89077,-459.3,-4.11
-89008,-459.2,-4.1
-88938,-459.1,-4.09
-88866,-463.7,-4.86
-88793,-464.1,-4.93
-88719,-464.9,-5.07
-88644,-464.6,-5.03
-88570,-464.8,-5.07
-88495,-465,-5.1
-88420,-465,-5.11
-88345,-465,-5.12
-88271,-465,-5.12
-88196,-465,-5.13
-88122,-462.9,-4.79
-88049,-460.7,-4.43
-87978,-460.7,-4.43
-87907,-459.3,-4.21
-87837,-458.8,-4.13
-87766,-459.7,-4.28
-87695,-461.3,-4.55
-87624,-456.8,-3.8
-87554,-460.1,-4.35
-87482,-463,-4.83
-87410,-458.9,-4.15
-87342,-454.7,-3.46
-87274,-457.1,-3.86
-87203,-460.3,-4.39
-87132,-460.9,-4.49
-87060,-460.4,-4.4
-86989,-459,-4.17
-86919,-458.7,-4.12
-86848,-458.8,-4.14
-86777,-460.1,-4.35
-86707,-457.9,-3.99
-86635,-463.2,-4.87
-86562,-460,-4.34
-86492,-457.4,-3.91
-86423,-456.6,-3.78
-86355,-455.8,-3.64
-86286,-456.5,-3.76
-86218,-455.7,-3.63
-86150,-454.2,-3.38
-86083,-454.2,-3.38
-86016,-454.2,-3.38
-85949,-455,-3.51
-85881,-455.1,-3.53
-85814,-454.5,-3.42
-85746,-455.2,-3.53
-85680,-452,-3
-85615,-450.3,-2.71
-85551,-448.1,-2.34
-85489,-448.9,-2.47
-85425,-450,-2.64
-85361,-450.3,-2.69
-85296,-453.6,-3.23
-85229,-453,-3.12
-85164,-451.8,-2.92
-85100,-449.2,-2.48
-85036,-450.2,-2.64
-84971,-451.9,-2.92
-84905,-454.2,-3.29
-84838,-455.4,-3.49
-84770,-455.1,-3.43
-84703,-452.7,-3.03
-84638,-450.5,-2.65
-84576,-444.4,-1.64
-84515,-449.8,-2.53
-84448,-457.3,-3.76
-84378,-458.8,-4.01
-84308,-458.3,-3.92
-84238,-458.3,-3.91
-84168,-458.3,-3.91
-84097,-460.5,-4.27
-84025,-462.8,-4.64
-83952,-460.9,-4.32
-83881,-456.2,-3.54
-83814,-454.2,-3.2
-83747,-454.4,-3.23
-83679,-457.3,-3.71
-83608,-461.4,-4.39
-83538,-454.7,-3.27
-83470,-456.8,-3.62
-83401,-457.3,-3.7
-83331,-458.8,-3.94
-83261,-458.8,-3.94
-83190,-458.7,-3.92
-83121,-456,-3.46
-83055,-450.7,-2.58
-82990,-453.1,-2.98
-82925,-449.8,-2.42
-82860,-453.9,-3.1
-82792,-458,-3.78
-82721,-461,-4.27
-82647,-463.9,-4.75
-82573,-462.6,-4.53
-82500,-461.3,-4.31
-82427,-463,-4.59
-82352,-464.6,-4.85
-82280,-457.4,-3.65
-82213,-450.7,-2.54
-82148,-453.6,-3.01
-82080,-456.9,-3.56
-82012,-456.4,-3.48
-81942,-458.5,-3.83
-81872,-457.9,-3.73
-81802,-458,-3.74
-81732,-458.4,-3.81
-81662,-458.3,-3.79
-81592,-458.3,-3.79
-81523,-455.5,-3.33
-81453,-458.9,-3.89
-81381,-462.3,-4.45
-81309,-458.8,-3.87
-81240,-455.3,-3.29
-81170,-459.8,-4.04
-81096,-466.8,-5.2
-81019,-465.2,-4.93
-80943,-463.6,-4.67
-80869,-462.6,-4.5
-80794,-464.1,-4.75
-80719,-464.1,-4.75
-80645,-462,-4.4
-80572,-461.1,-4.25
-80498,-462.3,-4.45
-80422,-468.1,-5.41
-80341,-474,-6.39
-80257,-472.3,-6.11
-80173,-473.9,-6.38
-80093,-464.8,-4.87
-80020,-457.5,-3.66
-79947,-465.3,-4.95
-79870,-468.1,-5.41
-79791,-467.3,-5.28
-79714,-465.2,-4.93
-79636,-467,-5.23
-79557,-468.6,-5.5
-79478,-468.2,-5.43
-79402,-461.6,-4.33
-79327,-464.2,-4.76
-79251,-465.6,-5
-79174,-464.4,-4.8
-79098,-464.4,-4.8
-79020,-471.1,-5.91
-78937,-473.1,-6.24
-78854,-470.9,-5.87
-78772,-470.3,-5.78
-78690,-472,-6.06
-78606,-473.6,-6.32
-78522,-472.4,-6.12
-78437,-476.4,-6.79
-78353,-469.9,-5.71
-78277,-458.5,-3.82
-78200,-472,-6.06
-78113,-479.4,-7.28
-78025,-475.4,-6.62
-77938,-474.8,-6.52
-77853,-474.4,-6.45
-77769,-470.5,-5.81
-77687,-470.2,-5.76
-77606,-470.5,-5.81
-77521,-475.2,-6.59
-77433,-478.5,-7.14
-77345,-475.9,-6.71
-77259,-473.6,-6.33
-77175,-471,-5.9
-77094,-468.1,-5.42
-77014,-468.4,-5.47
-76933,-468.6,-5.5
-76854,-466.1,-5.09
-76777,-463.6,-4.67
-76700,-465.1,-4.92
-76622,-466.9,-5.22
-76543,-466.5,-5.16
-76465,-466,-5.08
-76388,-464.3,-4.8
-76313,-459.8,-4.05
-76239,-461.7,-4.37
-76162,-466.9,-5.23
-76084,-464.5,-4.83
-76007,-465.5,-5
-75928,-468,-5.41
-75850,-461.6,-4.35
-75776,-461.8,-4.39
-75701,-462.6,-4.53
-75625,-463.4,-4.66
-75547,-466.2,-5.13
-75468,-467.9,-5.41
-75388,-467.3,-5.32
-75308,-466.1,-5.12
-75229,-467.9,-5.42
-75147,-469.7,-5.72
-75066,-467.8,-5.41
-74985,-469,-5.61
-74903,-469.4,-5.68
-74821,-470.4,-5.85
-74738,-470.5,-5.87
-74651,-476.8,-6.92
-74565,-471.4,-6.03
-74484,-463.6,-4.74
-74405,-468.9,-5.62
-74322,-470.6,-5.91
-74238,-473,-6.31
-74150,-478.2,-7.17
-74060,-474.5,-6.56
-73973,-473.8,-6.45
-73885,-476.2,-6.85
-73795,-477.8,-7.12
-73706,-474.7,-6.61
-73620,-471.6,-6.1
-73533,-476.8,-6.96
-73440,-481.9,-7.81
-73347,-477.6,-7.1
-73258,-473.6,-6.44
-73172,-472.8,-6.31
-73087,-470.9,-6
